variable,label,value_labels,type,missing_count,missing_percent
BSMJ,Expected occupation status (free response)- 4 digits,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled_spss, haven_labelled, vctrs_vctr, double",9873,42.79
SISCO,Clear idea about future job,0 = no clear idea of future job; 1 = clear idea of future job; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled_spss, haven_labelled, vctrs_vctr, double",6286,27.24
COBN_S,Student's county of birth,"010000 = Bulgaria; 910000 = Another country (BGR); 030000 = Greece; 930000 = Another country (GRC); 040000 = Jordan; 940000 = Another country (JOR); 060000 = Paraguay; 041000 = Republic of Korea; 941000 = Another country (KOR); 071000 = South Africa; 181000 = Russia, Kazakhstan, or another former sovjet republic; 032000 = Guatemala; 932000 = Another country (GTM); 062000 = Portugal; 962000 = Another country (PRT); 004000 = Austria; 034000 = Honduras; 044000 = Lithuania; 944000 = Another country (LTU); 084000 = United States of America; 984000 = Another country (USA); 115000 = A European country; 025000 = France; 925000 = Another country (FRA); 036000 = Indonesia; 936000 = Another country (IDN); 086000 = Uzbekistan; 007000 = Bosnia and Herzegovina; 017000 = Colombia; 917000 = Another country (COL); 047000 = Malta; 947000 = Another country (MLT); 038000 = Italy; 938000 = Another country (ITA); 189000 = Ex-Yugoslavia; 003100 = Azerbaijan; 023100 = Ethiopia; 005100 = Armenia; 115100 = An Eastern European country (Poland, Romania,, Serbia, Russia,…); 038100 = Kosovo; 938100 = Another country (KSV); 019100 = Croatia; 919100 = Another country (HRV); 059100 = Panama; 959100 = Another country (PAN); 070200 = Singapore; 970200 = Another country (SGP); 011200 = Belarus; 042200 = Lebanon; 003200 = Argentina; 903200 = Another country (ARG); 024200 = Fiji; 064200 = Romania; 964200 = Another country (ROU); 015200 = Chile; 915200 = Another country (CHL); 035200 = Iceland; 935200 = Another country (ISL); 075200 = Sweden; 975200 = Another country (SWE); 076200 = Tadjikistan; 086200 = Venezuela; 037200 = Republic of Ireland; 937200 = Another country (IRL); 068200 = Saudi Arabia; 088200 = Samoa; 039200 = Japan; 939200 = Another country (JPN); 079200 = Turkey; 020300 = Czech Republic; 920300 = Another country (CZE); 070300 = Slovak Republic; 970300 = Another country (SVK); 011300 = Burma; 023300 = Estonia; 923300 = Another country (EST); 064300 = Russian Federation; 000400 = Afghanistan; 050400 = Morocco; 060400 = Peru; 960400 = Another country (PER); 070400 = Vietnam; 970400 = Another country (VNM); 080400 = Ukraine; 021400 = Dominican Republic; 921400 = Another country (DOM); 012400 = Canada; 912400 = Another country (CAN); 072400 = Spain; 972400 = Another country (ESP); 063400 = Qatar; 963400 = Another country (QAT); 934400 = Another country (HKG); 055400 = New Zealand; 955400 = Another country (NZL); 036400 = Iran; 076400 = Thailand; 976400 = Another country (THA); 048400 = Mexico; 948400 = Another country (MEX); 078400 = United Arab Emirates; 978400 = Another country (ARE); 960500 = Another country (PHL); 070500 = Slovenia; 970500 = Another country (SVN); 070600 = Somalia; 970600 = Another country (KHM); 011600 = Cambodia; 061600 = Poland; 961600 = Another country (POL); 082600 = United Kingdom; 003600 = Australia; 903600 = Another country (AUS); 024600 = Finland; 924600 = Another country (FIN); 944600 = Another country (MAC); 005600 = Belgium; 905600 = Another country (BEL); 015600 = China; 035600 = India; 075600 = Switzerland; 975600 = Another country (CHE); 007600 = Brazil; 907600 = Another country (BRA); 027600 = Germany; 927600 = Another country (DEU); 037600 = Israel; 937600 = Other Countries; 058600 = Pakistan; 009600 = Brunei Darussalam; 909600 = Another country (BRN); 019600 = Cyprus; 080700 = Republic of North Macedonia; 980700 = Another country (MKD); 041700 = Kyrgyzstan; 075700 = Syria; 088700 = Yemen; 000800 = Albania; 900800 = Another country (ALB); 020800 = Denmark; 920800 = Another country (DNK); 060800 = Philippines; 081800 = Egypt; 042800 = Latvia; 942800 = Another country (LVA); 052800 = Netherlands; 043800 = Liechtenstein; 034800 = Hungary; 934800 = Another country (HUN); 015800 = Chinese Taipei; 915800 = Another country (TAP); 045800 = Malaysia; 945800 = Another country (MYS); 055800 = Nicaragua; 085800 = Uruguay; 985800 = Another country (URY); 006800 = Bolivia; 026800 = Georgia; 926800 = Another country (GEO); 036800 = Iraq; 057800 = Norway; 957800 = Another country (NOR); 018800 = Costa Rica; 918800 = Another country (CRI); 068800 = Serbia; 968800 = Another country (SRB); 039800 = Kazakhstan; 939800 = Another country (KAZ); 049800 = Republic of Moldova; 949800 = Another country (MDA); 049900 = Montenegro; 949900 = Another country (MNE); 115010 = Europe outside of Nordic countries.; 078010 = Turkmenistan; 042210 = Laos; 072410 = In Extremadura; 970610 = Another country (SLV); 982610 = Another country (QUK); 058610 = Palestine; 021810 = El Salvador; 970620 = Another country (PSE); 082620 = Scotland; 970630 = Another country (JAM); 970640 = Another country (MNG); 082640 = Great Britain; 970650 = Another country (PRY); 970660 = Another country (SAU); 970670 = Another country (UZB); 039190 = Jamaica; 041001 = Mongolia; 115001 = Other Western European country (Spain, Greece, Italy, United Kingdom,…); 007001 = Other countries; 119001 = Other country of America; 189001 = One of the other former Yugoslav republics; 100201 = Portuguese speaking African Country; 068201 = Kuwait; 064301 = Russia; 050401 = Another country (MAR); 080401 = Another country (UKR); 021401 = Haiti; 072401 = In Andalusia; 034401 = Hong Kong; 178401 = The Gulf Cooperation Council Countries; 100501 = Latin American Countries; 044601 = Macao; 019601 = Other EU Country; 020801 = The Faroe Islands; 015801 = Taiwan; 072411 = In Galicia; 078411 = Other Arab country; 082611 = England; 082621 = A European Union country; 181002 = In another former Soviet Union country; 004002 = Former Yugoslavia (Bosnia-Herzegovina, Croatia, Kosovo, Macedonia, Montenegro, Serbia, Slovenia); 115002 = Another country within the European Union; 119002 = Countries in Americas area; 189002 = In another one of the former Yugoslav republics; 003102 = Another country (QAZ); 100202 = A Sub-Saharan country (Africa excl. Maghreb); 072402 = In Aragon; 019602 = Other non-EU Country; 020802 = Greenland; 115012 = Another European country (Turkey not included), North America, Oceania, Indonesia or Japan (Oceania includes New-Zealand; 072412 = In Rioja; 082612 = Northern Ireland; 082622 = England, Wales or Northern Ireland; 004003 = Other country within Europe; 072403 = In Asturias; 072413 = In Region of Madrid; 004004 = Other country outside Europe; 115004 = Another Country from European Union; 100204 = North African country (Maghreb); 072404 = In Balearic Islands; 072414 = In Region of Murcia; 999994 = I don’t know.; 115005 = A European country that is not a member of the European Union; 072405 = In Canary Islands; 115015 = Another country in Africa, Latin-America, Asia (Indonesia and Japan excluded) or Turkey (Latin America = Middle America; 072415 = In Navarre; 115106 = European Country not in the European Union; 072406 = In Cantabria; 072416 = In Basque Country; 072407 = In Castille-La Mancha; 072417 = In Region of Valencia; 999997 = Not Applicable; 115008 = Other country outside of the European Union; 072408 = In Castille León; 115018 = Countries in south east Asia area; 072418 = In Ceuta or Melilla; 999998 = Invalid; 072409 = In Catalonia; 999999 = Missing","haven_labelled, vctrs_vctr, character",0,0
COBN_M,Student mother's country of birth,"010000 = Bulgaria; 910000 = Another country (BGR); 030000 = Greece; 930000 = Another country (GRC); 040000 = Jordan; 940000 = Another country (JOR); 060000 = Paraguay; 041000 = Republic of Korea; 941000 = Another country (KOR); 071000 = South Africa; 181000 = Russia, Kazakhstan, or another former sovjet republic; 032000 = Guatemala; 932000 = Another country (GTM); 062000 = Portugal; 962000 = Another country (PRT); 004000 = Austria; 034000 = Honduras; 044000 = Lithuania; 944000 = Another country (LTU); 084000 = United States of America; 984000 = Another country (USA); 115000 = A European country; 025000 = France; 925000 = Another country (FRA); 036000 = Indonesia; 936000 = Another country (IDN); 086000 = Uzbekistan; 007000 = Bosnia and Herzegovina; 017000 = Colombia; 917000 = Another country (COL); 047000 = Malta; 947000 = Another country (MLT); 038000 = Italy; 938000 = Another country (ITA); 189000 = Ex-Yugoslavia; 003100 = Azerbaijan; 023100 = Ethiopia; 005100 = Armenia; 115100 = An Eastern European country (Poland, Romania,, Serbia, Russia,…); 038100 = Kosovo; 938100 = Another country (KSV); 019100 = Croatia; 919100 = Another country (HRV); 059100 = Panama; 959100 = Another country (PAN); 070200 = Singapore; 970200 = Another country (SGP); 011200 = Belarus; 042200 = Lebanon; 003200 = Argentina; 903200 = Another country (ARG); 024200 = Fiji; 064200 = Romania; 964200 = Another country (ROU); 015200 = Chile; 915200 = Another country (CHL); 035200 = Iceland; 935200 = Another country (ISL); 075200 = Sweden; 975200 = Another country (SWE); 076200 = Tadjikistan; 086200 = Venezuela; 037200 = Republic of Ireland; 937200 = Another country (IRL); 068200 = Saudi Arabia; 088200 = Samoa; 039200 = Japan; 939200 = Another country (JPN); 079200 = Turkey; 020300 = Czech Republic; 920300 = Another country (CZE); 070300 = Slovak Republic; 970300 = Another country (SVK); 011300 = Burma; 023300 = Estonia; 923300 = Another country (EST); 064300 = Russian Federation; 000400 = Afghanistan; 050400 = Morocco; 060400 = Peru; 960400 = Another country (PER); 070400 = Vietnam; 970400 = Another country (VNM); 080400 = Ukraine; 021400 = Dominican Republic; 921400 = Another country (DOM); 012400 = Canada; 912400 = Another country (CAN); 072400 = Spain; 972400 = Another country (ESP); 063400 = Qatar; 963400 = Another country (QAT); 934400 = Another country (HKG); 055400 = New Zealand; 955400 = Another country (NZL); 036400 = Iran; 076400 = Thailand; 976400 = Another country (THA); 048400 = Mexico; 948400 = Another country (MEX); 078400 = United Arab Emirates; 978400 = Another country (ARE); 960500 = Another country (PHL); 070500 = Slovenia; 970500 = Another country (SVN); 070600 = Somalia; 970600 = Another country (KHM); 011600 = Cambodia; 061600 = Poland; 961600 = Another country (POL); 082600 = United Kingdom; 003600 = Australia; 903600 = Another country (AUS); 024600 = Finland; 924600 = Another country (FIN); 944600 = Another country (MAC); 005600 = Belgium; 905600 = Another country (BEL); 015600 = China; 035600 = India; 075600 = Switzerland; 975600 = Another country (CHE); 007600 = Brazil; 907600 = Another country (BRA); 027600 = Germany; 927600 = Another country (DEU); 037600 = Israel; 937600 = Other Countries; 058600 = Pakistan; 009600 = Brunei Darussalam; 909600 = Another country (BRN); 019600 = Cyprus; 080700 = Republic of North Macedonia; 980700 = Another country (MKD); 041700 = Kyrgyzstan; 075700 = Syria; 088700 = Yemen; 000800 = Albania; 900800 = Another country (ALB); 020800 = Denmark; 920800 = Another country (DNK); 060800 = Philippines; 081800 = Egypt; 042800 = Latvia; 942800 = Another country (LVA); 052800 = Netherlands; 043800 = Liechtenstein; 034800 = Hungary; 934800 = Another country (HUN); 015800 = Chinese Taipei; 915800 = Another country (TAP); 045800 = Malaysia; 945800 = Another country (MYS); 055800 = Nicaragua; 085800 = Uruguay; 985800 = Another country (URY); 006800 = Bolivia; 026800 = Georgia; 926800 = Another country (GEO); 036800 = Iraq; 057800 = Norway; 957800 = Another country (NOR); 018800 = Costa Rica; 918800 = Another country (CRI); 068800 = Serbia; 968800 = Another country (SRB); 039800 = Kazakhstan; 939800 = Another country (KAZ); 049800 = Republic of Moldova; 949800 = Another country (MDA); 049900 = Montenegro; 949900 = Another country (MNE); 115010 = Europe outside of Nordic countries.; 078010 = Turkmenistan; 042210 = Laos; 072410 = In Extremadura; 970610 = Another country (SLV); 982610 = Another country (QUK); 058610 = Palestine; 021810 = El Salvador; 970620 = Another country (PSE); 082620 = Scotland; 970630 = Another country (JAM); 970640 = Another country (MNG); 082640 = Great Britain; 970650 = Another country (PRY); 970660 = Another country (SAU); 970670 = Another country (UZB); 039190 = Jamaica; 041001 = Mongolia; 115001 = Other Western European country (Spain, Greece, Italy, United Kingdom,…); 007001 = Other countries; 119001 = Other country of America; 189001 = One of the other former Yugoslav republics; 100201 = Portuguese speaking African Country; 068201 = Kuwait; 064301 = Russia; 050401 = Another country (MAR); 080401 = Another country (UKR); 021401 = Haiti; 072401 = In Andalusia; 034401 = Hong Kong; 178401 = The Gulf Cooperation Council Countries; 100501 = Latin American Countries; 044601 = Macao; 019601 = Other EU Country; 020801 = The Faroe Islands; 015801 = Taiwan; 072411 = In Galicia; 078411 = Other Arab country; 082611 = England; 082621 = A European Union country; 181002 = In another former Soviet Union country; 004002 = Former Yugoslavia (Bosnia-Herzegovina, Croatia, Kosovo, Macedonia, Montenegro, Serbia, Slovenia); 115002 = Another country within the European Union; 119002 = Countries in Americas area; 189002 = In another one of the former Yugoslav republics; 003102 = Another country (QAZ); 100202 = A Sub-Saharan country (Africa excl. Maghreb); 072402 = In Aragon; 019602 = Other non-EU Country; 020802 = Greenland; 115012 = Another European country (Turkey not included), North America, Oceania, Indonesia or Japan (Oceania includes New-Zealand; 072412 = In Rioja; 082612 = Northern Ireland; 082622 = England, Wales or Northern Ireland; 004003 = Other country within Europe; 072403 = In Asturias; 072413 = In Region of Madrid; 004004 = Other country outside Europe; 115004 = Another Country from European Union; 100204 = North African country (Maghreb); 072404 = In Balearic Islands; 072414 = In Region of Murcia; 999994 = I don’t know.; 115005 = A European country that is not a member of the European Union; 072405 = In Canary Islands; 115015 = Another country in Africa, Latin-America, Asia (Indonesia and Japan excluded) or Turkey (Latin America = Middle America; 072415 = In Navarre; 115106 = European Country not in the European Union; 072406 = In Cantabria; 072416 = In Basque Country; 072407 = In Castille-La Mancha; 072417 = In Region of Valencia; 999997 = Not Applicable; 115008 = Other country outside of the European Union; 072408 = In Castille León; 115018 = Countries in south east Asia area; 072418 = In Ceuta or Melilla; 999998 = Invalid; 072409 = In Catalonia; 999999 = Missing","haven_labelled, vctrs_vctr, character",0,0
COBN_F,Student father's country of birth,"010000 = Bulgaria; 910000 = Another country (BGR); 030000 = Greece; 930000 = Another country (GRC); 040000 = Jordan; 940000 = Another country (JOR); 060000 = Paraguay; 041000 = Republic of Korea; 941000 = Another country (KOR); 071000 = South Africa; 181000 = Russia, Kazakhstan, or another former sovjet republic; 032000 = Guatemala; 932000 = Another country (GTM); 062000 = Portugal; 962000 = Another country (PRT); 004000 = Austria; 034000 = Honduras; 044000 = Lithuania; 944000 = Another country (LTU); 084000 = United States of America; 984000 = Another country (USA); 115000 = A European country; 025000 = France; 925000 = Another country (FRA); 036000 = Indonesia; 936000 = Another country (IDN); 086000 = Uzbekistan; 007000 = Bosnia and Herzegovina; 017000 = Colombia; 917000 = Another country (COL); 047000 = Malta; 947000 = Another country (MLT); 038000 = Italy; 938000 = Another country (ITA); 189000 = Ex-Yugoslavia; 003100 = Azerbaijan; 023100 = Ethiopia; 005100 = Armenia; 115100 = An Eastern European country (Poland, Romania,, Serbia, Russia,…); 038100 = Kosovo; 938100 = Another country (KSV); 019100 = Croatia; 919100 = Another country (HRV); 059100 = Panama; 959100 = Another country (PAN); 070200 = Singapore; 970200 = Another country (SGP); 011200 = Belarus; 042200 = Lebanon; 003200 = Argentina; 903200 = Another country (ARG); 024200 = Fiji; 064200 = Romania; 964200 = Another country (ROU); 015200 = Chile; 915200 = Another country (CHL); 035200 = Iceland; 935200 = Another country (ISL); 075200 = Sweden; 975200 = Another country (SWE); 076200 = Tadjikistan; 086200 = Venezuela; 037200 = Republic of Ireland; 937200 = Another country (IRL); 068200 = Saudi Arabia; 088200 = Samoa; 039200 = Japan; 939200 = Another country (JPN); 079200 = Turkey; 020300 = Czech Republic; 920300 = Another country (CZE); 070300 = Slovak Republic; 970300 = Another country (SVK); 011300 = Burma; 023300 = Estonia; 923300 = Another country (EST); 064300 = Russian Federation; 000400 = Afghanistan; 050400 = Morocco; 060400 = Peru; 960400 = Another country (PER); 070400 = Vietnam; 970400 = Another country (VNM); 080400 = Ukraine; 021400 = Dominican Republic; 921400 = Another country (DOM); 012400 = Canada; 912400 = Another country (CAN); 072400 = Spain; 972400 = Another country (ESP); 063400 = Qatar; 963400 = Another country (QAT); 934400 = Another country (HKG); 055400 = New Zealand; 955400 = Another country (NZL); 036400 = Iran; 076400 = Thailand; 976400 = Another country (THA); 048400 = Mexico; 948400 = Another country (MEX); 078400 = United Arab Emirates; 978400 = Another country (ARE); 960500 = Another country (PHL); 070500 = Slovenia; 970500 = Another country (SVN); 070600 = Somalia; 970600 = Another country (KHM); 011600 = Cambodia; 061600 = Poland; 961600 = Another country (POL); 082600 = United Kingdom; 003600 = Australia; 903600 = Another country (AUS); 024600 = Finland; 924600 = Another country (FIN); 944600 = Another country (MAC); 005600 = Belgium; 905600 = Another country (BEL); 015600 = China; 035600 = India; 075600 = Switzerland; 975600 = Another country (CHE); 007600 = Brazil; 907600 = Another country (BRA); 027600 = Germany; 927600 = Another country (DEU); 037600 = Israel; 937600 = Other Countries; 058600 = Pakistan; 009600 = Brunei Darussalam; 909600 = Another country (BRN); 019600 = Cyprus; 080700 = Republic of North Macedonia; 980700 = Another country (MKD); 041700 = Kyrgyzstan; 075700 = Syria; 088700 = Yemen; 000800 = Albania; 900800 = Another country (ALB); 020800 = Denmark; 920800 = Another country (DNK); 060800 = Philippines; 081800 = Egypt; 042800 = Latvia; 942800 = Another country (LVA); 052800 = Netherlands; 043800 = Liechtenstein; 034800 = Hungary; 934800 = Another country (HUN); 015800 = Chinese Taipei; 915800 = Another country (TAP); 045800 = Malaysia; 945800 = Another country (MYS); 055800 = Nicaragua; 085800 = Uruguay; 985800 = Another country (URY); 006800 = Bolivia; 026800 = Georgia; 926800 = Another country (GEO); 036800 = Iraq; 057800 = Norway; 957800 = Another country (NOR); 018800 = Costa Rica; 918800 = Another country (CRI); 068800 = Serbia; 968800 = Another country (SRB); 039800 = Kazakhstan; 939800 = Another country (KAZ); 049800 = Republic of Moldova; 949800 = Another country (MDA); 049900 = Montenegro; 949900 = Another country (MNE); 115010 = Europe outside of Nordic countries.; 078010 = Turkmenistan; 042210 = Laos; 072410 = In Extremadura; 970610 = Another country (SLV); 982610 = Another country (QUK); 058610 = Palestine; 021810 = El Salvador; 970620 = Another country (PSE); 082620 = Scotland; 970630 = Another country (JAM); 970640 = Another country (MNG); 082640 = Great Britain; 970650 = Another country (PRY); 970660 = Another country (SAU); 970670 = Another country (UZB); 039190 = Jamaica; 041001 = Mongolia; 115001 = Other Western European country (Spain, Greece, Italy, United Kingdom,…); 007001 = Other countries; 119001 = Other country of America; 189001 = One of the other former Yugoslav republics; 100201 = Portuguese speaking African Country; 068201 = Kuwait; 064301 = Russia; 050401 = Another country (MAR); 080401 = Another country (UKR); 021401 = Haiti; 072401 = In Andalusia; 034401 = Hong Kong; 178401 = The Gulf Cooperation Council Countries; 100501 = Latin American Countries; 044601 = Macao; 019601 = Other EU Country; 020801 = The Faroe Islands; 015801 = Taiwan; 072411 = In Galicia; 078411 = Other Arab country; 082611 = England; 082621 = A European Union country; 181002 = In another former Soviet Union country; 004002 = Former Yugoslavia (Bosnia-Herzegovina, Croatia, Kosovo, Macedonia, Montenegro, Serbia, Slovenia); 115002 = Another country within the European Union; 119002 = Countries in Americas area; 189002 = In another one of the former Yugoslav republics; 003102 = Another country (QAZ); 100202 = A Sub-Saharan country (Africa excl. Maghreb); 072402 = In Aragon; 019602 = Other non-EU Country; 020802 = Greenland; 115012 = Another European country (Turkey not included), North America, Oceania, Indonesia or Japan (Oceania includes New-Zealand; 072412 = In Rioja; 082612 = Northern Ireland; 082622 = England, Wales or Northern Ireland; 004003 = Other country within Europe; 072403 = In Asturias; 072413 = In Region of Madrid; 004004 = Other country outside Europe; 115004 = Another Country from European Union; 100204 = North African country (Maghreb); 072404 = In Balearic Islands; 072414 = In Region of Murcia; 999994 = I don’t know.; 115005 = A European country that is not a member of the European Union; 072405 = In Canary Islands; 115015 = Another country in Africa, Latin-America, Asia (Indonesia and Japan excluded) or Turkey (Latin America = Middle America; 072415 = In Navarre; 115106 = European Country not in the European Union; 072406 = In Cantabria; 072416 = In Basque Country; 072407 = In Castille-La Mancha; 072417 = In Region of Valencia; 999997 = Not Applicable; 115008 = Other country outside of the European Union; 072408 = In Castille León; 115018 = Countries in south east Asia area; 072418 = In Ceuta or Melilla; 999998 = Invalid; 072409 = In Catalonia; 999999 = Missing","haven_labelled, vctrs_vctr, character",0,0
IMMIG,Index on immigrant background (OECD definition),1 = Native student; 2 = Second-Generation student; 3 = First-Generation student; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled_spss, haven_labelled, vctrs_vctr, double",2610,11.31
LANGN,Language spoken at home,"105 = Kurdish; 108 = Tagalog; 112 = Waray; 113 = Indonesian; 118 = Romanian; 121 = Estonian; 130 = Georgian; 133 = Raeto'-Romance; 137 = Somali; 140 = Albanian; 147 = Amaric; 148 = German; 150 = Afrikaans; 154 = Tamil; 156 = Spanish; 160 = Catalan; 170 = Slovak; 171 = Ethiopic; 192 = Bosnian; 195 = Scots; 200 = Italian; 202 = Mongolian; 204 = Malay; 230 = Walloon; 232 = Portuguese; 237 = Tadjik language; 244 = Czech; 246 = Bikol; 254 = Pangasinan; 258 = Urdu; 263 = Greendlandish; 264 = Danish; 265 = Faroese; 266 = Croatian; 272 = Samoan; 273 = Polish; 275 = Kazakh; 286 = Japanese; 301 = Korean; 313 = English; 316 = Chinese; 317 = Serbian; 322 = Dutch; 325 = Latvian; 327 = Ethnic minority languages (eg: Tay language, Nung language, Hmong language) (VNM); 329 = Vietnamese; 338 = Hiligaynon; 340 = Pushto; 344 = Turkish; 351 = Bulgarian; 358 = Quechua; 363 = Kyrgyz; 369 = Azerbaijani; 371 = Iloko; 375 = Lithuanian; 379 = Welsh; 381 = Romani; 382 = Scottish Gaelic; 383 = Tongan; 404 = Faeroese; 409 = Maltese; 412 = Punjabi; 415 = Hindi; 420 = Finnish; 422 = Hebrew; 428 = Belarusian; 434 = Irish; 442 = Slovenian; 449 = Greek; 451 = Basque; 463 = An Australian Indigenous language; 465 = Maori; 467 = Icelandic; 471 = Uzbek; 472 = Karakalpak language; 474 = Galician; 492 = Macedonian; 493 = French; 494 = Swedish; 495 = Russian; 496 = Hungarian; 500 = Arabic; 503 = Persian; 507 = Luxembourgish; 514 = Ukrainian; 517 = Guarani; 519 = Crimean Tatar Language (UKR); 520 = Khmer; 523 = Norwegian; 527 = Aymara; 529 = Nahuat; 531 = An African language (Swahili, Lingala,…); 536 = Greenlandic; 540 = Sami; 547 = Armenian; 555 = Thai; 561 = Ngäbe (PAN); 562 = Kuna (PAN); 563 = Emberá (PAN); 564 = Wounaan (PAN); 565 = Buglé (PAN); 566 = Bri Bri (PAN); 567 = Naso Tjerdi (PAN); 600 = Yugoslavian - Serbian, Croatian, etc.; 601 = Gagauz; 602 = Minority languages Bulgarian dialects (BGR); 605 = Other European languages (QSC); 606 = Western European languages; 607 = Regional languages (FRA); 608 = Valencian; 609 = Chinese dialects or languages (HKG); 611 = A dialect (ITA); 613 = Chinese dialects or languages (MAC); 614 = Languages of the former USSR; 615 = Eastern European languages; 616 = National dialects or languages (THA); 618 = Another European language (DNK); 619 = Creole; 621 = Flemish dialect (BEL); 622 = Serbian of a yekavian variant or Montenegrin; 623 = Other European Languages (NLD); 624 = Another EU language (ITA); 625 = Cantonese; 626 = Ulster Scots; 627 = Other National dialects or languages (ROU); 628 = Indian Languages (MEX); 630 = Taiwanese dialect; 631 = Amazonic language (PER); 633 = Another European Union language; 634 = A non-European Union language; 635 = Indigenous (CRI); 639 = Other former Yugoslavian languages (SVN); 640 = German dialect (BEL); 641 = Mandarin; 642 = Local language in Indonesia; 648 = Swiss German; 650 = Aboriginal dialect (TAP); 651 = Non Local Dialect (QCN); 652 = Non-Han ethnic languages (QCN); 654 = Another local Chinese dialect (QCN); 661 = Hakka dialect (TAP); 662 = Portugues del Uruguay; 663 = Bosnian, Croatian, or Serbian (AUT); 664 = Bosnian / Croatian / Serbian; 665 = Dialect from Liechtenstein; 666 = Dialect from Ticino or an Italian Region; 667 = South Slav; 668 = Aranes; 669 = Arabic (including Lebanese); 670 = Punjabi; 673 = An indigenous language; 674 = Sign language; 675 = Maya; 676 = Garífuna; 677 = Xinca; 678 = Other; 800 = Another language (ARG); 801 = Another language (AUS); 802 = Another language (AUT); 804 = Another language (BEL); 805 = Another language (BRA); 806 = Another language (BGR); 807 = Another language (CAN); 808 = Another language (CHL); 809 = Another language (TAP); 810 = Another language (COL); 811 = Another language (HRV); 812 = Another language (CZE); 813 = Another language (DNK); 814 = Another language (EST); 815 = Another language (FIN); 816 = Another language (FRA); 817 = Another language (KAZ); 818 = Another language (DEU); 819 = Another language (GRC); 820 = Another language (HKG); 821 = Another language (HUN); 822 = Another language (ISL); 823 = Another language (IDN); 824 = Another language (IRL); 825 = Another language (ISR); 826 = Another language (ITA); 827 = Another language (JPN); 828 = Another language (JOR); 829 = Another language (QUK); 831 = Another language (LVA); 832 = Another language (CRI); 833 = Another language (LTU); 834 = Another language (LUX); 835 = Another language (MAC); 836 = Another language (MEX); 837 = Another language (MNE); 838 = Another language (NLD); 839 = Another language (NZL); 840 = Another language (NOR); 841 = Another language (PER); 842 = Another language (POL); 843 = Another language (PRT); 844 = Another language (QAT); 845 = Another language (KOR); 846 = Another language (ROU); 847 = Another language (RUS); 848 = Another language (QSC); 849 = Another language (SAU); 850 = Another language (SVK); 851 = Another language (SVN); 852 = Another language (ESP); 853 = Another language (SWE); 854 = Another language (CHE); 855 = Another language (THA); 857 = Another language (TUR); 859 = Another language (USA); 860 = Another language (URY); 861 = Another language (SRB); 864 = Another language (QCN); 865 = Another language (ALB); 866 = Another language (MKD); 867 = Another language (SGP); 868 = Another language (DOM); 870 = Another language (GEO); 872 = Another language (MYS); 873 = Another language (MLT); 877 = Another language (ARE); 879 = Another language (VNM); 881 = Another language (MDA); 885 = Another language (KSV); 886 = Another language (LBN); 888 = Another language (QCY); 890 = Another language (PAN); 891 = Another language (UKR); 892 = Other languages spoken in Argentina (quechua, guaran, mapuche); 893 = Another language (BIH); 894 = Another language (BLR); 895 = Another language (BRN); 896 = Another language officially accepted in Italy (Ladino in Alto Adige and French in Val d'Aosta); 897 = Darija; 898 = Amazigh; 899 = Hassani; 900 = Another language (MAR); 901 = Akeanon/Akianon; 902 = Chavacano; 903 = Ibanag/Ybanag; 904 = Ivatan; 905 = Kapampangan; 906 = Kinaray-a; 907 = Maguindanaon; 908 = Maranao; 909 = Sambal; 910 = Sinugbuanong Binisaya/Cebuano; 911 = Surigaonon; 912 = Tausug; 913 = Yakan; 914 = Another language (PHL); 915 = Another language (QAZ); 916 = Another language (JAM); 917 = Another language (KHM); 918 = Another language (MNG); 919 = Another language (PRY); 920 = Another language (PSE); 921 = Another language (SLV); 922 = Another language (UZB); 997 = Not Applicable; 998 = Invalid; 999 = Missing","haven_labelled, vctrs_vctr, double",0,0
MATHMOT,Motivation to do well in mathematics,0 = Not more motivated to do well in mathematics than other subjects; 1 = More motivated to do well in mathematics than other subjects; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled_spss, haven_labelled, vctrs_vctr, double",4150,17.99
MATHEASE,Perception of Mathematics as easier than other subjects,0 = No perception of mathematics as easier than other subjects; 1 = Perception of mathematics as easier than other subjects; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled_spss, haven_labelled, vctrs_vctr, double",4168,18.06
MATHPREF,Preference of Math over other core subjects,0 = No preference for mathematics over other subjects; 1 = Preference for mathematics over other subjects; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled_spss, haven_labelled, vctrs_vctr, double",4123,17.87
