variable,missing_count,missing_percent
SC189Q02WA,112,12.98
SC189Q03WA,112,12.98
SC189Q06JA,112,12.98
SC171Q02JA,112,12.98
SC171Q03JA,112,12.98
SC204Q05JA,112,12.98
SC207Q03JA,112,12.98
SC207Q06JA,112,12.98
SC207Q08JA,112,12.98
SC053Q09TA,111,12.86
SC034Q03TA,111,12.86
SC187Q04WA,111,12.86
SC207Q01JA,111,12.86
SC207Q07JA,111,12.86
SC209Q04JA,111,12.86
SC209Q05JA,111,12.86
ABGMATH,111,12.86
SC192Q04JA,110,12.75
SC175Q01JA,110,12.75
SC053Q03TA,110,12.75
SC053Q04TA,110,12.75
SC212Q01JA,110,12.75
SC034Q01NA,110,12.75
SC177Q02JA,110,12.75
SC177Q03JA,110,12.75
SC207Q05JA,110,12.75
MACTIV,110,12.75
SC175Q02JA,109,12.63
SC053Q01TA,109,12.63
SC177Q01JA,109,12.63
SC169Q01JA,109,12.63
SC224Q01JA,109,12.63
SC209Q06JA,109,12.63
ALLACTIV,109,12.63
SC016Q03TA,108,12.51
SC192Q03JA,108,12.51
SC180Q01JA,108,12.51
SC192Q01JA,107,12.4
SC053Q10TA,107,12.4
SC212Q02JA,107,12.4
SC212Q03JA,107,12.4
SC192Q02JA,106,12.28
SC192Q05JA,106,12.28
SC192Q06JA,106,12.28
SC174Q01JA,106,12.28
ENCOURPG,106,12.28
CREACTIV,106,12.28
SC211Q01JA,105,12.17
SC173Q06JA,105,12.17
SC025Q02NA,104,12.05
SC173Q03JA,104,12.05
SC173Q04JA,104,12.05
SC211Q03JA,103,11.94
SC004Q03TA,103,11.94
SC037Q02TA,103,11.94
SC173Q01JA,103,11.94
SC173Q02JA,103,11.94
SC173Q05JA,103,11.94
SC200Q04JA,102,11.82
SC037Q01TA,101,11.7
SC037Q04TA,101,11.7
SC037Q03TA,100,11.59
SC037Q07TA,100,11.59
SC200Q01JA,100,11.59
SC200Q02JA,100,11.59
SC184Q05JA,100,11.59
SC037Q09TA,99,11.47
SC200Q03JA,99,11.47
SC184Q04JA,99,11.47
SC004Q08JA,98,11.36
SC193Q02WA,98,11.36
SC193Q04WA,98,11.36
SC193Q05WA,98,11.36
SC193Q06WA,98,11.36
SC183Q04JA,98,11.36
SC184Q07JA,98,11.36
SC004Q06NA,97,11.24
SC193Q01WA,97,11.24
SC193Q03WA,97,11.24
SC193Q07WA,97,11.24
SC025Q01NA,97,11.24
SC184Q02JA,97,11.24
SC184Q03JA,97,11.24
SC184Q06JA,97,11.24
PROPMATH,97,11.24
TEAFDBK,97,11.24
SC016Q02TA,96,11.12
SC037Q05NA,96,11.12
SC037Q08TA,96,11.12
SC183Q03JA,96,11.12
SC184Q01JA,96,11.12
SC017Q05NA,96,11.12
MTTRAIN,96,11.12
SC004Q05NA,95,11.01
SC037Q06NA,95,11.01
SC037Q11JA,95,11.01
SC183Q02JA,95,11.01
SC017Q08NA,95,11.01
SC032Q01TA,94,10.89
SC017Q04NA,94,10.89
SC017Q07NA,94,10.89
SC061Q03TA,94,10.89
SC061Q04TA,94,10.89
SC061Q06TA,94,10.89
SC061Q08TA,94,10.89
SC172Q02JA,94,10.89
SC172Q03JA,94,10.89
SC172Q04JA,94,10.89
SC172Q05JA,94,10.89
SC172Q06JA,94,10.89
SC172Q07JA,94,10.89
NEGSCLIM,94,10.89
SC004Q02TA,93,10.78
SC004Q07NA,93,10.78
SC032Q02TA,93,10.78
SC032Q03TA,93,10.78
SC032Q04TA,93,10.78
SC017Q02NA,93,10.78
SC017Q03NA,93,10.78
SC017Q06NA,93,10.78
SC017Q10JA,93,10.78
SC061Q01TA,93,10.78
SC061Q02TA,93,10.78
SC061Q05TA,93,10.78
SC061Q11HA,93,10.78
SC061Q07TA,93,10.78
SC061Q10TA,93,10.78
EDUSHORT,93,10.78
STUBEHA,93,10.78
TEACHBEHA,93,10.78
